Force (N),Position (mm),Strain (%),Stress (MPa)
153,0.0830,0.0830,0.113
153,0.0830,0.0830,0.113
153,0.0840,0.0840,0.114
153,0.0840,0.0840,0.114
153,0.0840,0.0840,0.114
154,0.0840,0.0840,0.115
154,0.0840,0.0840,0.115
154,0.0840,0.0840,0.115
155,0.0840,0.0840,0.115
155,0.0850,0.0850,0.115
155,0.0850,0.0850,0.115
156,0.0850,0.0850,0.116
156,0.0850,0.0850,0.116
157,0.0850,0.0850,0.117
157,0.0850,0.0850,0.117
157,0.0850,0.0850,0.117
157,0.0850,0.0850,0.117
158,0.0860,0.0860,0.117
158,0.0860,0.0860,0.117
158,0.0860,0.0860,0.118
158,0.0860,0.0860,0.118
159,0.0860,0.0860,0.118
159,0.0860,0.0860,0.118
159,0.0860,0.0860,0.118
160,0.0870,0.0870,0.119
160,0.0870,0.0870,0.119
160,0.0870,0.0870,0.119
161,0.0870,0.0870,0.120
161,0.0870,0.0870,0.120
161,0.0870,0.0870,0.120
162,0.0870,0.0870,0.120
162,0.0870,0.0870,0.120
162,0.0880,0.0880,0.120
163,0.0880,0.0880,0.121
163,0.0880,0.0880,0.121
163,0.0880,0.0880,0.121
163,0.0880,0.0880,0.122
163,0.0880,0.0880,0.122
163,0.0880,0.0880,0.122
163,0.0890,0.0890,0.122
164,0.0890,0.0890,0.122
164,0.0890,0.0890,0.122
165,0.0890,0.0890,0.123
165,0.0890,0.0890,0.123
165,0.0890,0.0890,0.123
166,0.0890,0.0890,0.123
166,0.0890,0.0890,0.123
166,0.0900,0.0900,0.123
167,0.0900,0.0900,0.124
167,0.0900,0.0900,0.124
168,0.0900,0.0900,0.125
168,0.0900,0.0900,0.125
168,0.0900,0.0900,0.125
168,0.0900,0.0900,0.125
168,0.0900,0.0900,0.125
168,0.0910,0.0910,0.125
169,0.0910,0.0910,0.126
169,0.0910,0.0910,0.126
169,0.0910,0.0910,0.126
170,0.0910,0.0910,0.126
170,0.0910,0.0910,0.126
170,0.0910,0.0910,0.126
171,0.0920,0.0920,0.127
171,0.0920,0.0920,0.127
172,0.0920,0.0920,0.128
172,0.0920,0.0920,0.128
173,0.0920,0.0920,0.128
173,0.0920,0.0920,0.128
173,0.0930,0.0930,0.128
173,0.0930,0.0930,0.129
173,0.0930,0.0930,0.129
173,0.0930,0.0930,0.129
174,0.0930,0.0930,0.130
174,0.0930,0.0930,0.130
174,0.0930,0.0930,0.130
175,0.0930,0.0930,0.130
175,0.0940,0.0940,0.130
175,0.0940,0.0940,0.130
176,0.0940,0.0940,0.131
176,0.0940,0.0940,0.131
176,0.0940,0.0940,0.131
176,0.0940,0.0940,0.131
177,0.0940,0.0940,0.131
177,0.0940,0.0940,0.131
178,0.0950,0.0950,0.132
178,0.0950,0.0950,0.132
178,0.0950,0.0950,0.132
178,0.0950,0.0950,0.133
178,0.0950,0.0950,0.133
178,0.0950,0.0950,0.133
179,0.0950,0.0950,0.133
179,0.0950,0.0950,0.133
180,0.0960,0.0960,0.134
180,0.0960,0.0960,0.134
180,0.0960,0.0960,0.134
181,0.0960,0.0960,0.135
181,0.0960,0.0960,0.135
182,0.0960,0.0960,0.135
182,0.0960,0.0960,0.135
183,0.0970,0.0970,0.136
183,0.0970,0.0970,0.136
183,0.0970,0.0970,0.136
183,0.0970,0.0970,0.136
183,0.0970,0.0970,0.136
183,0.0970,0.0970,0.136
184,0.0970,0.0970,0.137
184,0.0980,0.0980,0.137
184,0.0980,0.0980,0.137
185,0.0980,0.0980,0.138
185,0.0980,0.0980,0.138
186,0.0980,0.0980,0.138
186,0.0980,0.0980,0.138
186,0.0980,0.0980,0.138
186,0.0990,0.0990,0.138
187,0.0990,0.0990,0.139
187,0.0990,0.0990,0.139
188,0.0990,0.0990,0.140
188,0.0990,0.0990,0.140
188,0.0990,0.0990,0.140
188,0.0990,0.0990,0.140
188,0.0990,0.0990,0.140
188,0.100,0.100,0.140
189,0.100,0.100,0.141
189,0.100,0.100,0.141
190,0.100,0.100,0.141
190,0.100,0.100,0.141
190,0.100,0.100,0.141
190,0.100,0.100,0.141
191,0.101,0.101,0.142
191,0.101,0.101,0.142
192,0.101,0.101,0.143
192,0.101,0.101,0.143
192,0.101,0.101,0.143
193,0.101,0.101,0.143
193,0.101,0.101,0.143
193,0.101,0.101,0.144
193,0.102,0.102,0.144
193,0.102,0.102,0.144
193,0.102,0.102,0.144
194,0.102,0.102,0.144
194,0.102,0.102,0.144
195,0.102,0.102,0.145
195,0.102,0.102,0.145
195,0.102,0.102,0.145
196,0.103,0.103,0.146
196,0.103,0.103,0.146
196,0.103,0.103,0.146
197,0.103,0.103,0.146
197,0.103,0.103,0.146
198,0.103,0.103,0.147
198,0.103,0.103,0.147
198,0.103,0.103,0.147
198,0.104,0.104,0.148
198,0.104,0.104,0.148
198,0.104,0.104,0.148
199,0.104,0.104,0.148
199,0.104,0.104,0.148
199,0.104,0.104,0.148
200,0.104,0.104,0.149
200,0.105,0.105,0.149
201,0.105,0.105,0.149
201,0.105,0.105,0.149
202,0.105,0.105,0.150
202,0.105,0.105,0.150
203,0.105,0.105,0.151
203,0.106,0.106,0.151
203,0.106,0.106,0.151
203,0.106,0.106,0.151
203,0.106,0.106,0.151
204,0.106,0.106,0.152
204,0.106,0.106,0.152
205,0.106,0.106,0.153
205,0.106,0.106,0.153
206,0.106,0.106,0.153
